"1","Здравствуйте дорогие друзья! Вступайте в наше сообщество ЖЕСТЬ ВОЛГОГРАДА и вы будете в курсе всех","Здравствуйте дорогие друзья! Вступайте в наше сообщество ЖЕСТЬ ВОЛГОГРАДА и вы будете в курсе всех событий Присылайте свои фото с места происшествия именно в эту группу!"
"1","Играем в ролевую игру  МафияРазные персонажиживое общение🔥 Ссылка на группу Мафия SYNDIСATE✅","Играем в ролевую игру  МафияРазные персонажиживое общение🔥 Ссылка на группу Мафия SYNDIСATE✅"
"1","Добрый день! ПРОПАЛА СОБАКА! 24 октября около 2200 в районе Семейного магнита по ул 51Гвардейская По","Добрый день! ПРОПАЛА СОБАКА! 24 октября около 2200 в районе Семейного магнита по ул 51Гвардейская Порода йоркширский терьер девочка на собаке была шлейка серого цвета Огромная просьба откликнуться нашедшего или тех кому что нибудь известно! 89173368123 Вознаграждение гарантирую! Прошу максимальный репост!"
"8","Отрезавшего отцу голову волжанина нашли на заброшенной даче31летний Иван Артюхов более двух недель с","Отрезавшего отцу голову волжанина нашли на заброшенной даче31летний Иван Артюхов более двух недель скрывался в одном из СНТ ВолжскогоБлагодаря сознательности граждан и тому что информация в наше время разлетается в считанные минуты оперативники Волжского сумелитаки найти опасного убийцу Накануне в одном из СНТ Волжского в заброшенном дачном доме задержали 31летнего Ивана Артюхова Он жестоко расправился со своим отцом в начале текущего месяца Во время задержания преступник даже не успел оказать какогото сопротивления  оперативники сработали на отличноЗначительную помощь и содействие полиции в розыске преступника оказали граждане сообщая сведения о лицах схожих по приметам с разыскиваемым И вот 25го августа в ходе проверки полученной информации Артюхова удалось повязать сообщили VolgaDayru в ГУ МВД России по регионуНапомним утром 8го августа жители дома №54 по улице Карбышева в городе Волжском совершили ужасающую находку  под окнами бывшего общежития валялась отсеченная человеческая голова Вскоре была установлена личность убитого  им оказался 63летний житель этого дома Тело покойника обнаружили в его квартире В тот же день у следствия появился главный подозреваемый Это ранее неоднократно судимый злоупотребляющий наркотиками 31летний сын убитого  Иван Артюхов Он расправился с пенсионером в ходе пьяной ссоры отрезал ему голову и выбросил в окно после чего скрылся с места преступления В настоящее время он задержан"
"9","На улице ракосовского произошла драка между водителями автомобилей на перекрестке водитель волги вре","На улице ракосовского произошла драка между водителями автомобилей на перекрестке водитель волги врезался в задней бампер лексуса из за чего произошла перепалка водитель лексуса сломал палец водителю волги"
"8","Избитая матерью и ее сожителем 9месячная малышка скончалась в ВолгоградеДевочка умерла днем 22го авг","Избитая матерью и ее сожителем 9месячная малышка скончалась в ВолгоградеДевочка умерла днем 22го августаИзбитая до полусмерти 9месячная девочка из Октябрьского района Волгоградской области которая была госпитализирована с чудовищными травмами 20го августа скончалась в обеденное время 22го числа в больнице регионального центра Медики несколько дней боролись за жизнь крохи но все усилия оказались напрасными Черепномозговая травма перелом затылочной кости и множественные телесными повреждения не оставили младенцу шансов на выживаниеВиновники ее смерти  23летняя мамаша и ее 25летний сожительзэк  в настоящее время находятся под стражей В связи с кончиной ребенка уголовное дело было переквалифицировано и теперь мучителям грозит до 15ти лет заключения каждомуНапомним ранее мы сообщали что многодетная мать вместе со своим любовником в течение недели жестоко избивали 9месячного ребенка чтобы та не плакала"
"2","В регионе меняется расписание пригородных поездов  С 25 августа пригородные поезда «Волгоград1 Качал","В регионе меняется расписание пригородных поездов  С 25 августа пригородные поезда «Волгоград1 Качалино» и «Качалино  Петров Вал» будут курсировать по другому расписанию  По информации Волгоградтранспригород поезд № 6811 «Волгоград1 Качалино» вместо понедельника вторника среды четверга будет ходить по понедельникам вторникам четвергам пятницам Отправление со ст Волгоград1 в 1626 прибытие на ст Качалино в 1745  Подробности можно прочитать на сайте #РИАЦ"
"1","прохладно для волгограда","прохладно для волгограда"
"1","Здравствуйте дорогие друзья Вступайте в нашу группу ЖЕСТЬ ВОЛГОГРАДА и вы будите в курсе всех собы","Здравствуйте дорогие друзья Вступайте в нашу группу ЖЕСТЬ ВОЛГОГРАДА и вы будите в курсе всех событий"
"8","Волгоградец взобрался на трубу теплотрассы и получил смертельный удар токомПокойника на изгибающейся","Волгоградец взобрался на трубу теплотрассы и получил смертельный удар токомПокойника на изгибающейся аркой над проезжей частью трубе теплотрассы обнаружили утром 20го августа Жители поселка Нижние Баррикады утром воскресенья были шокированы увиденным У дома №10 по улице Прибалтийской был обнаружен труп о чем они тут же сообщили в правоохранительные органы Но тело нашли не гдето в кустах а на трубе теплотрассы которая проходит аркой над проезжей частью Как сообщает корреспондент VolgaDayru собственный корреспондент с места событий мужчина был в полулежачем положении и одном нижнем белье Провода линии электропередач которые проходят аккурат над теплотрассой оказались под его спиной По предварительным данным бедняга погиб от мощного удара током задев провода После того как подача электричества была приостановлена спасатели при помощи автолестницы спустили покойника на землю Как он умудрился так высоко взобраться и для чего  пока неизвестно Впрочем как и его личность  следователи в настоящее время работают на месте инцидента Однако коекто из зевак прибежавших посмотреть на ЧП отметили что это местный житель злоупотребляющий спиртным"
"9","В Волгограде пассажирка такси пострадала в ДТП двух иномарок ДТП произошло ночью 1го августаВ Советс","В Волгограде пассажирка такси пострадала в ДТП двух иномарок ДТП произошло ночью 1го августаВ Советском районе Волгограда ночью 1го августа автомобиль BMW на скорости врезался в KIA Rio принадлежащий сервису ЯндексТакси  Как уточнили в ГУ МВД России по региону авария произошла около 030 26летний владелец немецкого авто двигался по улице Казахской но на перекрестке со Второй Продольной протаранил такси которое выполняло в этот момент заказ  В результате столкновения пострадала пассажирка KIA Женщина получила травму головы и была доставлена в лечебное учреждение откуда после оказания необходимой медицинской помощи самостоятельно отправилась домой  Напомним 23го июля в Красноармейском районе в машину ЯндексТакси врезался УАЗ с пьяным водителем за рулем Тогда погиб 44летний водитель такси а его 15летнему пассажиру потребовалась медицинская помощь В отношении виновника было возбуждено уголовное дело после чего он был арестован"
"8","Сотрудники волгоградской пекарни рассказали о тараканах и антисанитарииРаботники пекарни выложили ви","Сотрудники волгоградской пекарни рассказали о тараканах и антисанитарииРаботники пекарни выложили видео на котором производственный цех кишит тараканами 30го июля в сети появился видеоролик который засняли сотрудники одной из пекарен Волгограда На кадрах запечатлена полная антисанитария в производственном цеху Помещение кишит тараканами они повсюду даже в формах для выпечки которые к слову тоже выглядят не ахти  Голос за кадром комментирует что руководство никак не реагирует на возмущение персонала и поэтому сотрудники вынуждены уходить так как работать в таких условиях просто невозможно В конце в объектив попадает название пекарни таким образом неравнодушные хлебопеки хотят предупредить горожан о кошмаре"
"2","Волгоград ожидает визита премьерминистра Дмитрия МедведеваПо предварительной информации прибудет в о","Волгоград ожидает визита премьерминистра Дмитрия МедведеваПо предварительной информации прибудет в областной центр он уже на следующей неделе Как стало известно VolgaDayru от собственного источника в правительстве региона Волгоград вскоре может посетить сам Дмитрий Медведев Разговоры об этом идут с начала июля Правая рука нынешнего президента ориентировочно прибудет в городгерой 7го августа К слову для встречи высокого гостя с главами южных областей на набережной уже начали монтировать модульный конференцзал  Цель внезапного визита доподлинно неизвестна но то что будут обсуждать какието дела ЮФО  это однозначно И в первую очередь проблемы Волги развития внутренних водных путей и судостроения которые в минувшем году велел отметить сам Владимир Владимирович прибывший в наш город Плюс учитывая то что уже следующей весной пройдут выборы нового президента страны не исключено что с Волгограда Медведев начнет свою активную предвыборную кампанию  А пока в центре города еще активнее укладывают асфальт и наводят марафет"
"8","Под Волгоградом селянин довел немощного отца до попытки суицида67летний сын оставил лежачего отца ум","Под Волгоградом селянин довел немощного отца до попытки суицида67летний сын оставил лежачего отца умирать Жирновским межрайонным следственным отделом СУ СКР по области возбуждено уголовное дело в отношении 67летнего жителя одного из сел Жирновского района за доведение до самоубийства и оставление в опасности  Установлено что мужчина проживал с 88летним лежачим отцом который требовал постоянного ухода изза своей немощности Такая обуза сыну была в тягость поэтому он решил избавиться от родителя 10го июня он изрядно принял на грудь многократно пожелал старику смерти а потом просто ушел заперев дверь На пятые сутки изнеможденный чувством голода и жажды дедушка решил убить себя  порезал левую руку ножом Однако бедняжку сумели спасти  односельчане забили тревогу в связи с долгим отсутствием соседа и как раз в тот день вместе с участковым выломали входную дверь  В настоящее время жестокий сын заключен под домашний арест Свою вину в содеянном он признал лишь частично Проводятся дальнейшие следственные действия направленные на установление всех обстоятельств совершенного преступления"
"9","Лобовое ДТП в Жирновском районе унесло жизни трех человекАвтокатастрофа произошла ночью 3го августаН","Лобовое ДТП в Жирновском районе унесло жизни трех человекАвтокатастрофа произошла ночью 3го августаНакануне ночью 35летний водитель автомобиля ВАЗ21100 мчался по трассе соединяющей Калининск и Камышин в сторону рабочего поселка Линево Жирновского района Волгоградской области Но на 47ом километре автодороги он потерял контроль над своим транспортным средством и выехал на встречную полосу где в это время неслась иномарка Мицубиси ASX под управлением 50летнего мужчины В итоге в 320 произошло лобовое столкновение машин Удар был настолько мощным что автомобили раскидало по обочинам превратив их в груды металла Выжить в такой мясорубке было практически невозможно Как сообщает ГУ МВД России по региону водители обеих машин скончались на месте от полученных травм а 29летняя пассажирка отечественной легковушки умерла по прибытию в больницу"
"8","В Михайловке 37летняя женщина вспорола пожилой свекрови животОна кинулась на нее с ножом в ходе конф","В Михайловке 37летняя женщина вспорола пожилой свекрови животОна кинулась на нее с ножом в ходе конфликта1го августа в больницу была доставлена истекающая кровью 70летняя жительница Михайловки У пенсионерки было ножевое ранение брюшной полости Медики принялись спасать пожилую женщину а полицейские искать того кто напал на беднягу с ножом  Но долго искать не пришлось  удар ножом нанесла 37летняя сноха потерпевшей Родственницы распивали спиртное и как это часто бывает поссорились изза мелочи Мало того что обе были под градусом так еще и вечная проблема снохи и свекрови В итоге подозреваемая схватилась за нож  В настоящее время она задержана за совершенное преступление ей грозит до 10ти лет за решеткой сообщает ТУ МВД России по Волгоградской области"
"2","МЧС предупреждает волгоградцев о жаре +41ºС и чрезвычайной пожароопасности Региональное управление М","МЧС предупреждает волгоградцев о жаре +41ºС и чрезвычайной пожароопасности Региональное управление МЧС России объявило экстренное предупреждение Экстренное предупреждение о сильной жаре и чрезвычайной пожаропасности объявлено в Волгоградской области сообщил днем 3го августа порталу VolgaDayru руководитель прессслужбы регионального управления МЧС России Дмитрий Уланов  Так согласно данным местного ЦГМС до 6го августа в отдельных районах Волгоградской области ожидается сильная жара до +41ºС В ведомстве настоятельно не рекомендуют принимать спиртное в такой зной а также советуют соблюдать элементарные меры личной безопасности пить больше жидкости носить светлую одежду из натуральных тканей использовать солнцезащитные средства и избегать долгого воздействия прямых солнечных лучей на тело  Кроме того в большинстве районов Волгоградской области и региональном центре сохранится чрезвычайная пожароопасность  наивысший пятый класс горимости леса В отдельных районах северной половины области и в отдельных югозападных районах ожидается высокая пожароопасность  четвертый класс"
"9","Полиция ищет сбежавшего после наезда на пешехода водителя Нивы ШевролеДТП произошло вечером накану","Полиция ищет сбежавшего после наезда на пешехода водителя Нивы ШевролеДТП произошло вечером накануне2го августа в 2100 в Советском районе Волгограде неустановленный водитель сбежал с места ДТП оставив на дороге травмированного им пешехода Как сообщает ГУ МВД России по региону пока еще неустановленный владелец Нивы Шевроле на улице Джамбула Джабаева сбил 67летнего мужчину который переходил дорогу в неположенном месте После произошедшего водитель даже не остановился чтобы справиться о состоянии травмированного им человека а напротив дал газу Пенсионер хоть и был шокирован все же сумел запомнить марку автомобиля В результате наезда пострадавший был госпитализирован с травмами различной степени тяжести"
